stringName,english,italian,french,spanish
EDITOR_canAddStructure,Press the LEFT mouse button to position the structure in the desired point. Press the RIGHT mouse button to abort this operation.,Clicca con il tasto SINISTRO del mouse per posizionare la struttura nel punto desiderato. Premi il tastro DESTRO per annullare l'operazione.,Appuyez sur le bouton GAUCHE de la souris pour positionner la structure au point souhaité. Appuyez sur le bouton DROITE de la souris pour abandonner cette opération.,--
QUESTION_deleteAll,Deleting this structure the rest of the settlement will also be eliminated. Do you really want to proceed?,Con la cancellazione di questa struttura sarà eliminato anche il resto dell'insediamento. Vuoi procedere con l'operazione?,"Avec l'élimination de cette structure, le reste de l'installation sera également éliminé. Voulez-vous vraiment continuer?",--
QUESTION_overwriteMap,Typed name corresponds to an existing map. Do you want to overwrite it?,Il nome digitato corrisponde ad una mappa già esistente. Vuoi sovrascriverla?,Le nom saisi correspond à une map existante. Voulez-vous l'écraser?,El nombre escrito corresponde a un mapa existente
WORD_EBarracks,Barracks,Caserma,Caserne,Cuartel
WORD_EBlacksmith,Blacksmith,Fucina,Forge,Herrería
WORD_EOsiristemple,Temple of Osiris,Tempio di Osiris,Temple de Osiris,Templo de Osiris
WORD_ETavern,Tavern,Taverna,Auberge,Taberna
WORD_ETempleOfHorusAndAnubis,Temple of Horus and Anubis,Tempio di Horus e Anubis,Temple de Horus et Anubis,Templo de Horus y Anubis
WORD_ETownhall,Townhall,Foro,Mairie,Foro
WORD_RArena,Arena,Arena,Arène,Arena
WORD_RBarracks,Barracks,Caserma,Caserne,Cuartel
WORD_RBlacksmith,Blacksmith,Fucina,Forge,Herrería
WORD_RTavern,Tavern,Taverna,Auberge,Taberna
WORD_RTemple,Temple,Tempio,Temple,Templo
WORD_RTownhall,Townhall,Foro,Mairie,Foro
WORD_ROutpost,Roman outpost,Avamposto romano,Avant-poste romain,Puesto de Avanzada romano
WORD_Broadleaf_1,Broadleaf 1,Latifoglie 1,À feuilles caduques 1,De hoja ancha 1
WORD_Broadleaf_2,Broadleaf 2,Latifoglie 2,À feuilles caduques 2,De hoja ancha 2
WORD_Cypress,Cypress,Cipresso,Cyprès,Ciprès
WORD_Jasmimmanga,Tropical tree 1,Pianta tropicale 1,Plante tropicale 1,Planta tropical 1
WORD_Palm_1,Palm 1,Palma 1,Palmier 1,Palmera 1
WORD_gameStarted,Game is being started...,Avvio della partita in corso...,Le jeu commence...,El juego se está iniciando...
WORD_player_1,Player 1,Giocatore 1,Joueur 1,Jugador 1
WORD_player_2,Player 2,Giocatore 2,Joueur 2,Jugador 2
WORD_player_3,Player 3,Giocatore 3,Joueur 3,Jugador 3
WORD_player_4,Player 4,Giocatore 4,Joueur 4,Jugador 4
WORD_player_5,Player 5,Giocatore 5,Joueur 5,Jugador 5
WORD_player_6,Player 6,Giocatore 6,Joueur 6,Jugador 6
WORD_player_7,Player 7,Giocatore 7,Joueur 7,Jugador 7
WORD_player_8,Player 8,Giocatore 8,Joueur 8,Jugador 8
WORD_playersNumber,Number of players,Numero di giocatori,Nombre de joueurs,Número de jugadores
WORD_errorCode,Error code,Codice errore,Code d'erreur,Código de error
WORD_yes,Yes,Sì,Oui,Sí
WORD_no,No,No,Non,No
WORD_Close,Close,Chiudi,Fermer,Cerrar
WORD_Save,Save,Salva,Sauver,Guardar
WORD_SaveAs,Save as...,Salva come...,Sauver comme...,Guardar como...
WORD_Open,Open,Apri,Ouvrir,Abrir
WORD_Create,Create,Crea,Créer,Crear
WORD_Add,Add,Aggiungi,Ajouter,Añadir
WORD_Apply,Apply,Applica,Appliquer,Aplicar
WORD_Cancel,Cancel,Annulla,Annuler,Cancelar
WORD_New,New,Nuovo,Nouveau,Nuevo
WORD_Exit,Exit,Esci,Sortir,Salir
RACE_Rome,Rome,Roma,Rome,Roma
RACE_Egypt,Egypt,Egitto,Egypte,Egipto
